latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.3764,-8.6585,306.2,1,1,2010-01-27,1132,Terra,MODIS,63,6.2,285.7,8.7,D,0
38.3799,-8.663,308.4,1.1,1.1,2010-01-28,1356,Aqua,MODIS,67,6.2,291.3,9.3,D,0
38.2483,-8.7601,303.4,1.1,1,2010-01-28,1356,Aqua,MODIS,42,6.2,291.4,5.1,D,0
41.6699,-7.786,317.7,1.3,1.1,2010-01-28,1357,Aqua,MODIS,78,6.2,283.6,26.9,D,0
41.6683,-7.8015,305.1,1.3,1.1,2010-01-28,1357,Aqua,MODIS,61,6.2,283.7,12.5,D,0
38.2381,-8.5614,302.6,1.1,1.1,2010-01-29,1119,Terra,MODIS,53,6.2,286.4,7.1,D,0
38.2521,-8.7547,306.8,1.1,1.1,2010-01-29,1119,Terra,MODIS,55,6.2,287.3,8.8,D,0
39.2378,-7.6797,301.7,1.1,1,2010-01-29,2224,Terra,MODIS,43,6.2,277.2,10.4,N,0
40.052,-7.6335,303.7,1,1,2010-01-30,1344,Aqua,MODIS,57,6.2,285.7,7.5,D,0
40.0536,-7.6216,311.3,1,1,2010-01-30,1344,Aqua,MODIS,71,6.2,285.2,12.6,D,0
38.5561,-9.1565,300.9,1.3,1.1,2010-02-01,1150,Terra,MODIS,43,6.2,287.1,8.6,D,0
39.466,-8.0174,300.6,2.2,1.4,2010-02-02,1415,Aqua,MODIS,37,6.2,288.3,14.7,D,0
40.9491,-8.0549,303.3,1.1,1,2010-03-10,1350,Aqua,MODIS,42,6.2,281.6,7.9,D,0
40.9506,-8.0428,301.5,1.1,1,2010-03-10,1350,Aqua,MODIS,36,6.2,281.5,7,D,0
40.9807,-8.0657,303.1,1.6,1.3,2010-03-12,1155,Terra,MODIS,55,6.2,280.7,14.9,D,0
41.7465,-8.324,304.3,1.8,1.3,2010-03-12,2301,Terra,MODIS,59,6.2,275.4,25.8,N,0
40.8703,-8.3053,324.2,2,1.4,2010-03-13,1100,Terra,MODIS,83,6.2,285,61,D,0
40.8723,-8.2983,319,2,1.4,2010-03-13,1100,Terra,MODIS,79,6.2,285.3,51.9,D,0
40.8743,-8.3241,319.4,2,1.4,2010-03-13,1100,Terra,MODIS,79,6.2,283.5,52.6,D,0
40.8704,-8.3457,307,2.7,1.6,2010-03-13,1421,Aqua,MODIS,65,6.2,285.4,36.4,D,0
40.872,-8.3164,324.1,2.7,1.6,2010-03-13,1421,Aqua,MODIS,83,6.2,286.9,98.9,D,0
40.8673,-8.3408,313.2,2.7,1.6,2010-03-13,1421,Aqua,MODIS,73,6.2,285.6,54.7,D,0
40.8692,-8.3115,316.8,2.7,1.6,2010-03-13,1421,Aqua,MODIS,77,6.2,287,68.4,D,0
41.7354,-8.3588,310.3,2.7,1.6,2010-03-13,1421,Aqua,MODIS,66,6.2,285.7,44.1,D,0
41.4737,-8.1127,308.7,1.1,1.1,2010-03-14,1143,Terra,MODIS,68,6.2,286.7,11.4,D,0
41.6722,-8.0685,340.8,1.1,1.1,2010-03-14,1143,Terra,MODIS,92,6.2,286.1,56.5,D,0
41.8689,-8.5001,316.6,1.1,1,2010-03-14,1143,Terra,MODIS,77,6.2,288,17.9,D,0
41.7528,-7.9398,301.7,1.1,1.1,2010-03-14,1143,Terra,MODIS,48,6.2,282.7,7.2,D,0
41.6698,-8.0549,307.9,1.1,1.1,2010-03-14,1143,Terra,MODIS,66,6.2,284.7,11.9,D,0
41.8423,-8.3434,308.3,1.1,1.1,2010-03-14,1143,Terra,MODIS,67,6.2,291.4,9.4,D,0
41.8056,-6.6817,305,1.3,1.1,2010-03-14,1143,Terra,MODIS,60,6.2,286.7,10.4,D,0
41.6987,-7.8579,303.1,1.2,1.1,2010-03-14,1143,Terra,MODIS,55,6.2,281.3,8.5,D,0
41.701,-7.871,308.7,1.2,1.1,2010-03-14,1143,Terra,MODIS,67,6.2,282.8,13,D,0
41.8666,-8.4865,306.3,1.1,1,2010-03-14,1143,Terra,MODIS,63,6.2,289.3,9.1,D,0
38.0356,-7.9041,301,1.3,1.1,2010-03-14,1144,Terra,MODIS,41,6.2,290,5.4,D,0
41.2779,-6.6781,303.7,1.1,1,2010-03-14,1326,Aqua,MODIS,57,6.2,284.6,7.6,D,0
41.3788,-8.3043,303.5,1.2,1.1,2010-03-14,1326,Aqua,MODIS,56,6.2,291.6,5.9,D,0
41.861,-8.3365,312.4,1.2,1.1,2010-03-14,1326,Aqua,MODIS,72,6.2,292.2,13.3,D,0
41.8582,-8.352,333.4,1.2,1.1,2010-03-14,1326,Aqua,MODIS,88,6.2,292.3,43.3,D,0
41.6894,-7.8903,346.2,1.2,1.1,2010-03-14,1326,Aqua,MODIS,94,6.2,286.7,70.8,D,0
41.6672,-8.075,339.9,1.2,1.1,2010-03-14,1326,Aqua,MODIS,92,6.2,288,57.7,D,0
41.6869,-7.9044,306.2,1.2,1.1,2010-03-14,1326,Aqua,MODIS,63,6.2,285.3,10.1,D,0
41.7069,-6.9563,302,1.1,1,2010-03-14,1326,Aqua,MODIS,50,6.2,288.5,5.6,D,0
41.6695,-8.0618,319.6,1.2,1.1,2010-03-14,1326,Aqua,MODIS,79,6.2,287.4,23.9,D,0
41.7439,-7.9432,304.8,1.2,1.1,2010-03-14,1326,Aqua,MODIS,60,6.2,283.6,9,D,0
40.867,-8.2984,306,1.2,1.1,2010-03-14,2249,Terra,MODIS,66,6.2,275.5,15.6,N,0
40.8685,-8.2845,305.1,1.2,1.1,2010-03-14,2249,Terra,MODIS,63,6.2,274.8,14.9,N,0
40.4304,-7.53,301,1.9,1.4,2010-03-15,1409,Aqua,MODIS,41,6.2,270.5,16.8,D,0
40.8699,-7.8441,300.2,1.9,1.3,2010-03-15,1409,Aqua,MODIS,29,6.2,277.7,10.1,D,0
40.435,-7.5381,301.1,1.9,1.4,2010-03-15,1409,Aqua,MODIS,45,6.2,271.8,17,D,0
40.8621,-7.8479,301,1.9,1.3,2010-03-15,1409,Aqua,MODIS,41,6.2,278.5,11.3,D,0
40.4228,-7.5488,301.7,1,1,2010-03-16,1131,Terra,MODIS,37,6.2,281.3,6.1,D,0
40.3746,-7.181,312.3,1,1,2010-03-16,1131,Terra,MODIS,72,6.2,290.8,11.2,D,0
38.9227,-9.2648,303.9,1,1,2010-03-16,1132,Terra,MODIS,35,6.2,286.3,5.4,D,0
38.4883,-9.1327,302.5,1,1,2010-03-16,1132,Terra,MODIS,53,6.2,291.1,3.9,D,0
40.2638,-7.6556,309.9,1.7,1.3,2010-03-16,1313,Aqua,MODIS,69,6.2,280.9,25.7,D,0
40.2755,-7.6575,306.2,1.7,1.3,2010-03-16,1313,Aqua,MODIS,63,6.2,278.6,19.6,D,0
41.02,-8.089,301.9,1.8,1.3,2010-03-16,1314,Aqua,MODIS,44,6.2,288.2,9.5,D,0
41.7782,-7.2495,303.2,1.5,1.2,2010-03-16,1314,Aqua,MODIS,53,6.2,287.8,10.8,D,0
41.7338,-6.8788,301.3,1.5,1.2,2010-03-17,1357,Aqua,MODIS,46,6.2,284.3,7,D,0
41.6512,-6.7533,308,1,1,2010-04-06,1332,Aqua,MODIS,66,6.2,290.2,6.7,D,0
41.653,-6.7414,306.9,1,1,2010-04-06,1332,Aqua,MODIS,64,6.2,289.9,6.1,D,0
41.4344,-7.6493,312.4,2.4,1.5,2010-04-07,1415,Aqua,MODIS,70,6.2,292.6,32.9,D,0
41.4364,-7.6191,308.2,2.4,1.5,2010-04-07,1415,Aqua,MODIS,63,6.2,294.1,22.3,D,0
41.5097,-8.3812,326.4,1,1,2010-04-08,1137,Terra,MODIS,84,6.2,295.4,23.3,D,0
41.197,-8.2231,309.4,1,1,2010-04-08,1137,Terra,MODIS,66,6.2,294.8,7.3,D,0
41.3068,-7.8115,304.1,1.1,1,2010-04-08,1137,Terra,MODIS,54,6.2,291.3,4.5,D,0
41.5117,-8.3936,325.8,1,1,2010-04-08,1137,Terra,MODIS,83,6.2,293.9,22.4,D,0
38.3268,-8.2724,309.6,1.1,1,2010-04-08,1138,Terra,MODIS,57,6.2,296.2,7.8,D,0
38.0051,-8.7468,316.8,1.1,1,2010-04-08,1138,Terra,MODIS,73,6.2,297.6,12.2,D,0
40.4802,-7.3254,319,1.4,1.2,2010-04-08,1319,Aqua,MODIS,77,6.2,295.3,23.2,D,0
41.702,-8.2538,310.3,1.4,1.2,2010-04-08,1320,Aqua,MODIS,68,6.2,297.1,11.4,D,0
41.696,-8.2583,307.3,1.4,1.2,2010-04-08,1320,Aqua,MODIS,40,6.2,296.5,7.6,D,0
41.2544,-8.4489,321.3,1.1,1,2010-04-08,2243,Terra,MODIS,100,6.2,284.1,24.5,N,0
42.0668,-8.1234,310.7,1.1,1,2010-04-08,2243,Terra,MODIS,81,6.2,277.2,16.8,N,0
41.2589,-8.4434,307.1,1.3,1.1,2010-04-09,0257,Aqua,MODIS,70,6.2,281.3,15.9,N,0
41.249,-8.4463,332.6,1.3,1.1,2010-04-09,0257,Aqua,MODIS,100,6.2,281.7,51.8,N,0
41.2462,-8.4314,306.9,1.3,1.1,2010-04-09,0257,Aqua,MODIS,70,6.2,280.9,15.5,N,0
41.6784,-6.7818,326,1.8,1.3,2010-04-09,1402,Aqua,MODIS,82,6.2,295.7,47.3,D,0
42.0242,-8.1112,314.6,1.5,1.2,2010-04-09,1402,Aqua,MODIS,70,6.2,297,16.7,D,0
41.7311,-7.9841,309.4,1.5,1.2,2010-04-09,1402,Aqua,MODIS,57,6.2,298.7,7.7,D,0
41.4698,-8.3151,314.7,1.5,1.2,2010-04-09,1402,Aqua,MODIS,69,6.2,299.1,13.2,D,0
41.0995,-8.588,314,1.4,1.2,2010-04-09,1402,Aqua,MODIS,66,6.2,301.1,9.5,D,0
