latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.9945,-7.5069,303.5,1,1,2014-01-25,1342,Aqua,MODIS,56,6.2,290.7,5.2,D,0
38.9153,-8.4535,308.3,1,1,2014-02-19,1336,Aqua,MODIS,63,6.2,289.2,8.8,D,0
32.7389,-17.1112,314.1,1,1,2014-02-20,1418,Aqua,MODIS,52,6.2,292.2,11.9,D,0
38.1319,-7.5354,303.5,1,1,2014-02-23,1132,Terra,MODIS,56,6.2,288.4,6.2,D,0
38.226,-8.5362,308.1,1.1,1.1,2014-02-24,1354,Aqua,MODIS,66,6.2,287.2,10.4,D,0
38.2275,-8.5234,300.9,1.1,1.1,2014-02-24,1354,Aqua,MODIS,43,6.2,285.1,5.4,D,0
37.9874,-7.5084,309.8,1,1,2014-03-07,1335,Aqua,MODIS,63,6.2,296.8,5.6,D,0
41.4762,-7.6821,307.7,1,1,2014-03-07,1336,Aqua,MODIS,62,6.2,294.2,6.3,D,0
40.33,-6.9081,320.8,1.2,1.1,2014-03-09,0219,Aqua,MODIS,100,6.2,281.1,28.1,N,0
41.7732,-7.6701,309.5,1.2,1.1,2014-03-09,1324,Aqua,MODIS,60,6.2,280.6,13.5,D,0
41.7304,-7.8112,302.4,3,1.6,2014-03-10,1048,Terra,MODIS,0,6.2,287.2,21.7,D,0
40.4389,-7.5697,311.5,1.9,1.3,2014-03-10,1407,Aqua,MODIS,70,6.2,290.4,25.4,D,0
40.8796,-8.2456,309.9,2.7,1.6,2014-03-10,2154,Terra,MODIS,79,6.2,281,56.3,N,0
40.4552,-7.4868,325.5,1,1,2014-03-11,1131,Terra,MODIS,84,6.2,288.7,23.8,D,0
40.8811,-8.2191,305.1,1,1,2014-03-11,1131,Terra,MODIS,61,6.2,291.9,6,D,0
40.4534,-7.4751,313,1,1,2014-03-11,1131,Terra,MODIS,73,6.2,288.6,12.1,D,0
41.7634,-7.8695,303.9,1,1,2014-03-11,1131,Terra,MODIS,50,6.2,292.6,4.5,D,0
41.5073,-8.0767,317.6,1,1,2014-03-11,1131,Terra,MODIS,78,6.2,292.6,14.3,D,0
39.329,-8.2925,303.5,1,1,2014-03-11,1131,Terra,MODIS,54,6.2,292.8,4.3,D,0
37.5346,-8.7797,305.8,1,1,2014-03-11,1132,Terra,MODIS,0,6.2,294.2,4.9,D,0
38.1034,-7.5029,309.8,1,1,2014-03-11,1132,Terra,MODIS,68,6.2,295.3,7.3,D,0
41.7804,-7.8071,304.5,1.6,1.3,2014-03-11,1312,Aqua,MODIS,53,6.2,293.4,10.2,D,0
41.4979,-8.0917,312.9,1.7,1.3,2014-03-11,1312,Aqua,MODIS,72,6.2,294.4,22.4,D,0
41.4149,-6.9475,306.6,1.5,1.2,2014-03-11,1312,Aqua,MODIS,62,6.2,292,10.8,D,0
41.4122,-6.9402,308.2,1.5,1.2,2014-03-11,1312,Aqua,MODIS,65,6.2,292.7,13.3,D,0
39.3415,-8.5831,308.2,1.1,1.1,2014-03-12,1354,Aqua,MODIS,51,6.2,296.2,5.8,D,0
38.9758,-8.2247,309.2,1.2,1.1,2014-03-12,1354,Aqua,MODIS,64,6.2,296.3,7.3,D,0
40.267,-7.6897,347.4,1.3,1.1,2014-03-12,1355,Aqua,MODIS,95,6.2,292.5,79.5,D,0
41.7286,-8.2374,302.4,1.2,1.1,2014-03-12,1355,Aqua,MODIS,44,6.2,284.5,4.5,D,0
41.7836,-7.8151,307.6,1.3,1.1,2014-03-12,1355,Aqua,MODIS,62,6.2,292.7,9.7,D,0
42.0864,-8.2203,302.8,1.3,1.1,2014-03-12,1355,Aqua,MODIS,42,6.2,286.8,6.3,D,0
42.0849,-8.2248,303.2,1.3,1.1,2014-03-12,1355,Aqua,MODIS,42,6.2,287.2,6.1,D,0
41.8456,-6.6094,312.8,1.5,1.2,2014-03-12,1355,Aqua,MODIS,71,6.2,292.7,18.2,D,0
41.7942,-8.0063,305.1,1.3,1.1,2014-03-12,1355,Aqua,MODIS,56,6.2,289.2,5.7,D,0
41.4543,-7.7233,327.6,1.1,1.1,2014-03-13,1118,Terra,MODIS,85,6.2,291.8,28.8,D,0
41.4559,-7.7363,302.7,1.1,1.1,2014-03-13,1118,Terra,MODIS,29,6.2,290.8,3.8,D,0
41.6178,-6.4953,300.8,1,1,2014-03-13,1118,Terra,MODIS,41,6.2,290.4,3.4,D,0
41.4449,-7.725,309.4,1.1,1.1,2014-03-13,1118,Terra,MODIS,69,6.2,291.7,9,D,0
39.4686,-9.169,325.8,1.2,1.1,2014-03-13,1119,Terra,MODIS,84,6.2,291.4,28.6,D,0
37.998,-7.5025,306.4,1,1,2014-03-13,1119,Terra,MODIS,61,6.2,294.3,5.1,D,0
39.4691,-9.1622,319.6,1.2,1.1,2014-03-13,1119,Terra,MODIS,79,6.2,291.5,21.7,D,0
39.4707,-9.1761,311.6,1.2,1.1,2014-03-13,1119,Terra,MODIS,51,6.2,289.7,12.6,D,0
39.4609,-9.1643,304.1,3.4,1.7,2014-03-13,1259,Aqua,MODIS,44,6.2,288.8,33,D,0
39.4657,-9.1582,301.7,3.4,1.7,2014-03-13,1259,Aqua,MODIS,46,6.2,289.1,24.8,D,0
38.1803,-8.4123,306.2,3.3,1.7,2014-03-13,1259,Aqua,MODIS,62,6.2,293.6,29.8,D,0
