latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.8328,-8.727,300,1,1,2013-01-03,1132,Terra,MODIS,18,6.2,284,5.7,D,0
39.5577,-8.7511,305.8,1.1,1.1,2013-01-04,1354,Aqua,MODIS,62,6.2,286,10.5,D,0
37.8969,-8.5593,302.8,1.5,1.2,2013-01-08,1150,Terra,MODIS,29,6.2,281.7,10.5,D,0
37.0448,-7.9044,301.6,1.2,1.1,2013-01-10,1138,Terra,MODIS,48,6.2,286.9,6.4,D,0
37.6441,-8.7959,301,1,1,2013-01-12,1126,Terra,MODIS,33,6.2,286.5,5.3,D,0
38.4541,-7.6959,305.4,1,1,2013-02-07,1341,Aqua,MODIS,61,6.2,289.4,7.1,D,0
38.8972,-9.33,301.6,1,1,2013-02-07,1342,Aqua,MODIS,48,6.2,286.9,5.8,D,0
38.0192,-7.9708,305.1,1.2,1.1,2013-02-09,1329,Aqua,MODIS,61,6.2,293.9,6.5,D,0
38.7766,-8.6229,301.5,1.2,1.1,2013-02-09,1329,Aqua,MODIS,47,6.2,289.3,6.1,D,0
38.6652,-8.6709,306,1.2,1.1,2013-02-09,1329,Aqua,MODIS,63,6.2,290.3,8.1,D,0
38.6617,-8.6775,304.3,1.2,1.1,2013-02-09,1329,Aqua,MODIS,59,6.2,291,6.7,D,0
39.2067,-8.3096,304.9,1,1,2013-02-13,1125,Terra,MODIS,60,6.2,288.3,6.6,D,0
38.2697,-8.3758,304,1,1,2013-02-14,1347,Aqua,MODIS,58,6.2,292.4,5,D,0
38.2682,-8.3874,303.4,1,1,2013-02-14,1347,Aqua,MODIS,56,6.2,291.8,4.5,D,0
41.6491,-6.9853,300.8,1.2,1.1,2013-02-14,1348,Aqua,MODIS,42,6.2,287.5,6.4,D,0
38.945,-8.6997,303.6,1,1,2013-02-14,1348,Aqua,MODIS,56,6.2,289.8,5.1,D,0
38.1443,-7.8634,302.8,1.2,1.1,2013-02-15,1113,Terra,MODIS,54,6.2,290.2,5.8,D,0
38.1431,-8.3444,304.1,1,1,2013-02-20,1132,Terra,MODIS,58,6.2,287.6,6.2,D,0
38.1943,-8.264,310.6,1.5,1.2,2013-02-25,1150,Terra,MODIS,70,6.2,287.5,20.5,D,0
38.1486,-8.3371,302.2,1.5,1.2,2013-02-25,1150,Terra,MODIS,51,6.2,287.2,9.5,D,0
38.1542,-8.3473,303.6,1.5,1.2,2013-02-25,1150,Terra,MODIS,56,6.2,288.1,11.2,D,0
38.5279,-9.1447,301.9,1.8,1.3,2013-02-26,1412,Aqua,MODIS,43,6.2,290.7,10.2,D,0
38.1992,-8.2563,300.7,1.1,1,2013-02-27,1138,Terra,MODIS,40,6.2,286.8,4.8,D,0
41.7615,-8.2961,323.6,1.4,1.2,2013-02-27,1318,Aqua,MODIS,45,6.2,278.6,37.4,D,0
38.094,-7.4401,303.1,1,1,2013-03-01,1126,Terra,MODIS,55,6.2,287.2,6.2,D,0
38.2047,-8.2655,309,1,1,2013-03-01,1126,Terra,MODIS,68,6.2,287.5,10,D,0
41.9353,-8.7338,301.5,2.2,1.4,2013-03-01,1306,Aqua,MODIS,36,6.2,285,17.7,D,0
37.9842,-8.8125,303.7,1,1,2013-03-11,0238,Aqua,MODIS,57,6.2,282.8,8.6,N,0
41.4477,-7.6694,305.6,1.4,1.2,2013-03-13,1149,Terra,MODIS,58,6.2,279,15.6,D,0
