latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.947,-8.4547,300.6,1.8,1.3,2002-01-17,1158,Terra,MODIS,39,6.2,285.2,12.2,D,0
37.9782,-8.822,304.4,1.8,1.3,2002-01-17,1159,Terra,MODIS,59,6.2,287.7,14.8,D,0
38.1292,-8.7394,303.3,1.1,1,2002-01-28,1140,Terra,MODIS,55,6.2,290.3,6,D,0
37.6804,-8.7744,314.2,1.1,1,2002-01-28,1140,Terra,MODIS,74,6.2,291.5,13.8,D,0
38.9446,-8.4437,300.1,1.1,1,2002-01-28,1140,Terra,MODIS,29,6.2,288.5,4.8,D,0
38.4473,-8.6899,302.5,1.1,1,2002-02-13,1139,Terra,MODIS,46,6.2,290.2,5.3,D,0
38.4533,-8.682,307.5,1.1,1,2002-02-13,1139,Terra,MODIS,65,6.2,290.3,7.8,D,0
38.9331,-8.4878,303.4,1.1,1,2002-02-13,1139,Terra,MODIS,56,6.2,288.9,5.4,D,0
40.4531,-7.5121,301,1.1,1,2002-02-13,1139,Terra,MODIS,40,6.2,289.8,4.9,D,0
38.4454,-8.678,302.9,1.1,1,2002-02-13,1139,Terra,MODIS,51,6.2,289.6,5.6,D,0
37.9547,-8.7947,305.2,1,1,2002-02-15,1127,Terra,MODIS,61,6.2,288.1,6.6,D,0
38.8776,-9.0866,300.9,1.1,1,2002-02-15,1127,Terra,MODIS,38,6.2,288.2,4.5,D,0
38.8867,-9.0844,304.4,1.1,1,2002-02-15,1127,Terra,MODIS,59,6.2,287.8,6.9,D,0
38.2249,-8.6826,307.2,1,1,2002-02-15,1127,Terra,MODIS,65,6.2,288.1,8.5,D,0
37.9513,-8.8013,321.5,1.1,1,2002-02-15,2231,Terra,MODIS,100,6.2,280.7,26.7,N,0
40.4959,-7.4562,306.2,2.8,1.6,2002-02-16,1209,Terra,MODIS,63,6.2,281.8,44,D,0
40.4987,-7.4483,307.7,2.8,1.6,2002-02-16,1209,Terra,MODIS,66,6.2,281.8,46,D,0
41.9696,-8.3008,300.6,1.5,1.2,2002-02-18,1157,Terra,MODIS,40,6.2,278.8,12.7,D,0
37.8971,-8.3658,300.3,1.9,1.3,2002-02-18,1158,Terra,MODIS,34,6.2,288.8,9.8,D,0
40.4727,-7.4537,314.4,1.8,1.3,2002-02-19,1102,Terra,MODIS,75,6.2,280.9,36.3,D,0
41.7774,-8.0603,305.8,2,1.4,2002-02-19,1102,Terra,MODIS,62,6.2,273,26.3,D,0
38.0074,-8.7445,301.3,2,1.4,2002-02-19,1103,Terra,MODIS,46,6.2,287.5,13.1,D,0
38.3593,-8.7361,300.7,2,1.4,2002-02-19,1103,Terra,MODIS,40,6.2,289.2,11.4,D,0
38.6417,-8.5302,300.8,1.2,1.1,2002-02-20,1145,Terra,MODIS,42,6.2,289,5.6,D,0
40.4635,-7.4838,301.2,1.3,1.1,2002-02-20,1145,Terra,MODIS,45,6.2,281.9,8.6,D,0
38.2195,-8.6855,303,1,1,2002-02-22,1133,Terra,MODIS,52,6.2,292.4,3.7,D,0
38.2213,-8.6968,303.7,1,1,2002-02-22,1133,Terra,MODIS,50,6.2,292.4,3.9,D,0
38.4321,-8.5635,300.3,1,1,2002-02-22,1133,Terra,MODIS,30,6.2,290.2,3.5,D,0
38.769,-8.528,301.1,1,1,2002-02-22,1133,Terra,MODIS,45,6.2,290.7,3.5,D,0
41.7818,-8.0124,304.9,1.1,1.1,2002-02-24,1120,Terra,MODIS,60,6.2,287.9,8.1,D,0
40.3099,-7.0424,314.7,1,1,2002-02-24,1120,Terra,MODIS,75,6.2,287.5,14.7,D,0
41.6476,-8.1477,304.1,1.2,1.1,2002-02-24,1120,Terra,MODIS,49,6.2,290.3,7.2,D,0
38.9899,-8.43,305.2,2.2,1.4,2002-02-25,1204,Terra,MODIS,61,6.2,291.7,17.5,D,0
38.1983,-8.3162,301.9,1.5,1.2,2002-02-26,1109,Terra,MODIS,40,6.2,288.7,7.3,D,0
38.131,-8.4189,301,1.1,1,2002-03-01,1139,Terra,MODIS,31,6.2,289.8,4.5,D,0
37.676,-8.77,303.1,1.8,1.3,2002-03-06,1158,Terra,MODIS,41,6.2,288.1,13,D,0
41.7459,-8.1352,312.5,2,1.4,2002-03-07,1101,Terra,MODIS,73,6.2,288.1,28.8,D,0
41.7352,-8.1294,313.8,2,1.4,2002-03-07,1101,Terra,MODIS,74,6.2,288.9,32.2,D,0
38.3567,-8.7111,304.3,2,1.4,2002-03-07,1102,Terra,MODIS,59,6.2,291.1,11.8,D,0
41.7719,-8.1065,328,1.1,1.1,2002-03-08,1144,Terra,MODIS,85,6.2,290.6,31.8,D,0
41.7742,-8.1197,300.9,1.1,1.1,2002-03-08,1144,Terra,MODIS,39,6.2,288.3,4.7,D,0
41.0886,-8.5796,304.7,1.1,1.1,2002-03-08,1145,Terra,MODIS,60,6.2,291,5.3,D,0
38.3582,-8.7124,308.8,1.2,1.1,2002-03-08,1145,Terra,MODIS,60,6.2,297,7.1,D,0
41.9646,-8.3837,300,1.2,1.1,2002-03-08,2250,Terra,MODIS,12,6.2,280.9,9.4,N,0
38.3269,-8.5895,306.8,1.1,1.1,2002-03-12,1121,Terra,MODIS,64,6.2,289.9,7.5,D,0
41.3366,-7.828,306.4,2,1.4,2002-03-29,1203,Terra,MODIS,48,6.2,285.5,22.2,D,0
41.3036,-7.9145,313.7,2,1.4,2002-03-29,1203,Terra,MODIS,64,6.2,280.5,36.5,D,0
41.2966,-7.8976,309.8,2,1.4,2002-03-29,1203,Terra,MODIS,33,6.2,277.8,25.2,D,0
40.9004,-8.0309,306.8,1.6,1.2,2002-03-30,1108,Terra,MODIS,56,6.2,292.5,10.5,D,0
40.6793,-8.3352,314.7,1.6,1.3,2002-03-30,1108,Terra,MODIS,73,6.2,290.6,24.6,D,0
41.3247,-7.8313,311.4,1.6,1.2,2002-03-30,1108,Terra,MODIS,66,6.2,294,16.4,D,0
41.3265,-7.8506,304.9,1.6,1.2,2002-03-30,1108,Terra,MODIS,34,6.2,290.9,8.5,D,0
40.6813,-8.3563,310.2,1.6,1.3,2002-03-30,1108,Terra,MODIS,66,6.2,288.4,17.5,D,0
40.9283,-7.8547,324.5,1.5,1.2,2002-03-30,1108,Terra,MODIS,81,6.2,293.6,37.7,D,0
40.8987,-8.0124,307.3,1.6,1.2,2002-03-30,1108,Terra,MODIS,57,6.2,291.4,11.3,D,0
41.5453,-8.3387,300.2,1.5,1.2,2002-03-30,2214,Terra,MODIS,19,6.2,282.1,11.6,N,0
41.531,-8.338,306.3,1.3,1.1,2002-03-31,1151,Terra,MODIS,47,6.2,294.5,6.1,D,0
40.2172,-7.2105,303.6,1.6,1.2,2002-03-31,1151,Terra,MODIS,43,6.2,293,7.3,D,0
40.2208,-7.2282,311.5,1.6,1.2,2002-03-31,1151,Terra,MODIS,69,6.2,293.4,17.4,D,0
