latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.3025,-7.392,300.6,1,1,2003-01-10,1120,Terra,MODIS,39,6.2,282.1,7.2,D,0
40.9318,-7.9955,312,1.1,1,2003-01-15,1138,Terra,MODIS,72,6.2,279.6,15.9,D,0
41.7932,-8.0093,306.9,2.5,1.5,2003-01-26,1256,Aqua,MODIS,64,6.2,281,35.2,D,0
38.2971,-8.7537,305.9,1,1,2003-01-27,1338,Aqua,MODIS,62,6.2,289.8,5.8,D,0
38.2954,-8.765,311.6,1,1,2003-01-27,1338,Aqua,MODIS,54,6.2,290.3,9.7,D,0
40.8615,-8.1129,343.8,1,1,2003-01-27,1339,Aqua,MODIS,93,6.2,293.1,50.2,D,0
40.8526,-8.1108,388.4,1,1,2003-01-27,1339,Aqua,MODIS,100,6.2,296,192.3,D,0
40.851,-8.1224,343.1,1,1,2003-01-27,1339,Aqua,MODIS,93,6.2,293.8,48.6,D,0
40.8599,-8.1245,303.2,1,1,2003-01-27,1339,Aqua,MODIS,42,6.2,291.4,4.6,D,0
41.7517,-8.3418,305.4,1,1,2003-01-27,1339,Aqua,MODIS,61,6.2,292,5.8,D,0
40.6041,-8.1791,301.2,1.5,1.2,2003-01-28,2213,Terra,MODIS,39,6.2,277.9,15.2,N,0
37.9803,-8.8254,319.8,1.4,1.2,2003-01-29,1151,Terra,MODIS,80,6.2,286.5,32.2,D,0
37.9836,-8.8134,342.7,1.4,1.2,2003-01-29,1151,Terra,MODIS,93,6.2,287.5,84.8,D,0
37.9772,-8.8096,328,1.4,1.2,2003-01-29,1151,Terra,MODIS,85,6.2,286.5,47.6,D,0
41.7241,-6.9492,306.8,1,1,2003-01-29,1327,Aqua,MODIS,64,6.2,280.5,10.6,D,0
40.9455,-7.8143,302.2,1.5,1.2,2003-01-29,2256,Terra,MODIS,48,6.2,272.6,19.3,N,0
38.333,-8.7167,305.2,1.1,1,2003-01-31,1139,Terra,MODIS,61,6.2,286.6,8.4,D,0
37.9738,-8.7328,307.9,1.3,1.1,2003-02-01,1356,Aqua,MODIS,66,6.2,286.7,13.6,D,0
37.9628,-8.3875,303.6,1,1,2003-02-03,1344,Aqua,MODIS,56,6.2,290.2,5.2,D,0
