latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,pdDistrict
38.3072,-8.4113,300.3,1.1,1.0,2005-01-04,1137,Terra,MODIS,35,6.2,284.7,6.2,D,0,Alentejo
38.8092,-8.2957,302.5,1.4,1.2,2005-01-05,1357,Aqua,MODIS,53,6.2,287.5,8.9,D,0,Lisboa VT
38.2709,-8.6267,311.9,1.0,1.0,2005-01-06,1125,Terra,MODIS,72,6.2,282.6,13.6,D,0,Other
38.389,-8.4387,300.6,1.0,1.0,2005-01-07,1345,Aqua,MODIS,40,6.2,289.0,4.3,D,0,Alentejo
41.9473,-8.4207,301.2,1.1,1.0,2005-01-07,1346,Aqua,MODIS,45,6.2,287.6,6.5,D,0,Norte
40.2861,-7.5791,340.6,1.0,1.0,2005-01-09,1333,Aqua,MODIS,92,6.2,288.6,45.7,D,0,Centro
40.9547,-8.0569,303.2,1.0,1.0,2005-01-09,1333,Aqua,MODIS,55,6.2,285.6,6.7,D,0,Centro
40.9565,-8.0449,302.7,1.0,1.0,2005-01-09,1333,Aqua,MODIS,49,6.2,284.4,6.5,D,0,Centro
41.8371,-8.3431,301.3,1.0,1.0,2005-01-09,1333,Aqua,MODIS,46,6.2,288.3,6.1,D,0,Norte
40.4195,-7.5532,312.9,1.0,1.0,2005-01-09,1333,Aqua,MODIS,73,6.2,279.5,14.7,D,0,Centro
41.8389,-8.3312,306.3,1.0,1.0,2005-01-09,1333,Aqua,MODIS,63,6.2,287.0,9.0,D,0,Norte
40.2878,-7.5675,345.1,1.0,1.0,2005-01-09,1333,Aqua,MODIS,94,6.2,287.0,54.0,D,0,Centro
41.5194,-7.7408,305.2,1.0,1.0,2005-01-09,1333,Aqua,MODIS,61,6.2,275.4,10.3,D,0,Norte
40.9814,-8.0638,303.5,1.0,1.0,2005-01-09,1333,Aqua,MODIS,54,6.2,282.2,7.9,D,0,Centro
40.4468,-7.5757,324.6,3.0,1.6,2005-01-10,1416,Aqua,MODIS,78,6.2,272.7,119.6,D,0,Centro
40.4611,-7.5777,343.6,3.0,1.6,2005-01-10,1416,Aqua,MODIS,92,6.2,274.0,252.0,D,0,Centro
40.4462,-7.5796,319.7,3.0,1.6,2005-01-10,1416,Aqua,MODIS,72,6.2,272.4,102.4,D,0,Centro
38.2559,-8.6212,306.5,1.2,1.1,2005-01-11,1143,Terra,MODIS,64,6.2,285.6,11.9,D,0,Other
39.2473,-7.9365,305.4,1.8,1.3,2005-01-12,1403,Aqua,MODIS,61,6.2,286.8,16.5,D,0,Alentejo
38.0484,-8.2247,300.9,1.1,1.1,2005-01-14,1351,Aqua,MODIS,40,6.2,277.5,5.4,D,0,Alentejo
38.1161,-8.3492,305.0,1.1,1.1,2005-01-14,1351,Aqua,MODIS,60,6.2,282.6,8.1,D,0,Alentejo
38.1256,-8.351,304.7,1.1,1.1,2005-01-14,1351,Aqua,MODIS,60,6.2,280.7,7.9,D,0,Alentejo
37.1475,-8.4072,303.8,1.0,1.0,2005-01-16,1338,Aqua,MODIS,57,6.2,284.3,6.5,D,0,Algarve
37.5996,-7.6417,304.8,1.0,1.0,2005-01-16,1338,Aqua,MODIS,60,6.2,292.8,4.3,D,0,Alentejo
38.302,-8.7089,300.7,1.2,1.1,2005-01-18,1326,Aqua,MODIS,38,6.2,289.9,5.5,D,0,Other
37.9354,-7.5321,300.9,1.2,1.1,2005-01-20,1137,Terra,MODIS,43,6.2,290.8,5.1,D,0,Alentejo
39.2594,-8.1645,301.5,1.6,1.2,2005-01-20,1314,Aqua,MODIS,48,6.2,290.5,8.3,D,0,Lisboa VT
38.9691,-8.1198,310.5,1.4,1.2,2005-01-21,1357,Aqua,MODIS,70,6.2,293.4,14.2,D,0,Lisboa VT
37.8895,-8.6398,312.1,1.3,1.1,2005-01-21,1357,Aqua,MODIS,70,6.2,294.8,13.6,D,0,Other
40.9193,-7.7503,301.6,1.6,1.2,2005-01-21,1358,Aqua,MODIS,48,6.2,289.1,9.4,D,0,Centro
40.4622,-7.5235,304.0,2.2,1.4,2005-01-22,157,Aqua,MODIS,58,6.2,272.9,35.0,N,0,Centro
40.4605,-7.5008,300.1,2.2,1.4,2005-01-22,157,Aqua,MODIS,18,6.2,269.7,28.2,N,0,Centro
40.4616,-7.5194,311.0,2.2,1.4,2005-01-22,157,Aqua,MODIS,81,6.2,272.3,46.7,N,0,Centro
32.7766,-17.23,313.8,1.5,1.2,2005-01-22,1439,Aqua,MODIS,0,6.2,290.5,20.6,D,0,Other
