latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,pdDistrict
39.3758,-8.1987,301.9,1.0,1.0,2009-01-08,1132,Terra,MODIS,50,6.2,279.2,8.2,D,0,Lisboa VT
37.9805,-8.8204,314.1,1.0,1.0,2009-01-08,1133,Terra,MODIS,74,6.2,281.4,15.5,D,0,Other
37.9788,-8.8092,302.2,1.0,1.0,2009-01-08,1133,Terra,MODIS,51,6.2,280.8,7.5,D,0,Other
38.5466,-9.1693,305.9,1.7,1.3,2009-01-12,1108,Terra,MODIS,47,6.2,281.6,21.6,D,0,Other
40.9276,-7.2573,321.6,1.0,1.0,2009-02-12,1346,Aqua,MODIS,81,6.2,286.7,21.4,D,0,Centro
40.926,-7.2697,303.7,1.0,1.0,2009-02-12,1346,Aqua,MODIS,57,6.2,285.9,6.6,D,0,Centro
40.4187,-7.2572,323.6,2.3,1.5,2009-02-15,312,Aqua,MODIS,100,6.2,273.2,90.2,N,0,Centro
40.4241,-7.2811,307.7,2.3,1.5,2009-02-15,312,Aqua,MODIS,72,6.2,271.8,43.4,N,0,Centro
40.2695,-6.9429,307.4,2.6,1.6,2009-02-15,1417,Aqua,MODIS,65,6.2,286.7,34.9,D,0,Centro
40.8092,-8.1317,344.7,1.0,1.0,2009-02-16,1138,Terra,MODIS,94,6.2,288.1,56.6,D,0,Centro
41.5268,-8.0325,310.1,1.0,1.0,2009-02-16,1138,Terra,MODIS,70,6.2,286.8,11.3,D,0,Norte
41.1174,-8.1403,306.0,1.0,1.0,2009-02-16,1138,Terra,MODIS,63,6.2,284.7,8.9,D,0,Norte
40.9831,-8.0585,300.7,1.0,1.0,2009-02-16,1138,Terra,MODIS,29,6.2,284.4,5.2,D,0,Centro
40.974,-8.0607,301.3,1.0,1.0,2009-02-16,1138,Terra,MODIS,39,6.2,286.8,5.4,D,0,Centro
40.8072,-8.119,314.8,1.0,1.0,2009-02-16,1138,Terra,MODIS,75,6.2,287.4,15.2,D,0,Centro
39.9624,-7.0279,304.6,1.2,1.1,2009-02-16,1138,Terra,MODIS,59,6.2,286.2,8.0,D,0,Centro
39.9718,-7.0249,306.9,1.2,1.1,2009-02-16,1138,Terra,MODIS,64,6.2,285.6,9.8,D,0,Centro
41.5255,-8.0346,302.7,1.4,1.2,2009-02-16,1322,Aqua,MODIS,53,6.2,286.4,8.6,D,0,Norte
40.8079,-8.1313,307.4,1.5,1.2,2009-02-16,1322,Aqua,MODIS,65,6.2,287.4,14.9,D,0,Centro
39.9664,-7.0299,344.0,1.3,1.1,2009-02-16,1322,Aqua,MODIS,93,6.2,288.4,76.2,D,0,Centro
39.9635,-7.0456,302.2,1.3,1.1,2009-02-16,1322,Aqua,MODIS,49,6.2,289.0,6.3,D,0,Centro
41.7677,-7.8452,303.3,1.3,1.1,2009-02-16,1322,Aqua,MODIS,55,6.2,286.3,9.3,D,0,Norte
41.7678,-7.8555,300.5,1.3,1.1,2009-02-16,1322,Aqua,MODIS,22,6.2,286.7,6.4,D,0,Norte
41.0656,-7.8799,304.2,1.4,1.2,2009-02-16,1322,Aqua,MODIS,58,6.2,286.7,10.5,D,0,Norte
40.5097,-7.463,300.3,3.4,1.7,2009-02-17,1043,Terra,MODIS,33,6.2,278.1,39.4,D,0,Centro
40.5044,-7.4576,300.5,3.4,1.7,2009-02-17,1043,Terra,MODIS,39,6.2,278.5,40.2,D,0,Centro
40.9691,-7.9561,306.3,1.0,1.0,2009-02-18,1126,Terra,MODIS,51,6.2,287.8,7.4,D,0,Centro
41.0528,-7.8936,300.5,1.0,1.0,2009-02-18,1126,Terra,MODIS,25,6.2,287.1,4.1,D,0,Norte
41.0484,-7.9254,300.4,1.0,1.0,2009-02-18,1126,Terra,MODIS,35,6.2,286.7,4.5,D,0,Norte
40.9601,-7.9527,301.4,1.0,1.0,2009-02-18,1126,Terra,MODIS,24,6.2,288.2,3.9,D,0,Centro
40.9617,-7.9645,304.2,1.0,1.0,2009-02-18,1126,Terra,MODIS,45,6.2,289.5,5.6,D,0,Centro
40.9995,-7.5601,300.6,2.0,1.4,2009-02-18,1310,Aqua,MODIS,39,6.2,287.6,11.6,D,0,Centro
40.9623,-7.968,302.1,2.1,1.4,2009-02-18,1310,Aqua,MODIS,48,6.2,286.7,15.7,D,0,Centro
40.4985,-7.1406,302.4,2.9,1.6,2009-02-19,1208,Terra,MODIS,52,6.2,287.4,25.3,D,0,Centro
40.4974,-7.148,301.6,2.9,1.6,2009-02-19,1208,Terra,MODIS,48,6.2,287.2,23.2,D,0,Centro
38.5155,-7.6329,317.0,1.1,1.0,2009-02-19,1352,Aqua,MODIS,77,6.2,295.8,13.6,D,0,Alentejo
39.6669,-8.2575,311.5,1.1,1.0,2009-02-19,1352,Aqua,MODIS,67,6.2,290.1,11.9,D,0,Centro
38.5247,-7.6348,317.6,1.1,1.0,2009-02-19,1352,Aqua,MODIS,78,6.2,294.5,14.4,D,0,Alentejo
38.2524,-8.7247,312.1,1.0,1.0,2009-02-19,1352,Aqua,MODIS,72,6.2,292.4,9.0,D,0,Other
41.1899,-7.9521,320.5,1.1,1.1,2009-02-19,1353,Aqua,MODIS,80,6.2,287.2,22.4,D,0,Norte
41.1883,-7.9651,300.2,1.1,1.1,2009-02-19,1353,Aqua,MODIS,32,6.2,286.2,5.1,D,0,Norte
41.1834,-7.9576,309.3,1.1,1.1,2009-02-19,1353,Aqua,MODIS,57,6.2,287.1,10.1,D,0,Norte
41.8897,-6.7028,304.3,1.3,1.1,2009-02-19,1353,Aqua,MODIS,58,6.2,290.2,7.7,D,0,Norte
40.4985,-7.1467,307.4,1.2,1.1,2009-02-19,1353,Aqua,MODIS,65,6.2,291.9,8.6,D,0,Centro
40.4969,-7.1605,304.7,1.2,1.1,2009-02-19,1353,Aqua,MODIS,60,6.2,291.6,6.5,D,0,Centro
40.4777,-7.3241,303.4,1.2,1.1,2009-02-19,1353,Aqua,MODIS,56,6.2,291.4,5.9,D,0,Centro
