latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,pdDistrict
39.1346,-8.6646,309.4,1.1,1.1,2012-01-02,1353,Aqua,MODIS,69,6.2,288.6,11.0,D,0,Lisboa VT
39.1362,-8.6516,320.9,1.1,1.1,2012-01-02,1353,Aqua,MODIS,81,6.2,289.1,22.7,D,0,Lisboa VT
38.5381,-8.7247,300.2,1.1,1.1,2012-01-03,1119,Terra,MODIS,0,6.2,284.3,6.7,D,0,Lisboa VT
38.939,-8.6577,308.6,1.0,1.0,2012-01-04,1341,Aqua,MODIS,67,6.2,288.8,9.2,D,0,Lisboa VT
37.8795,-8.5734,306.7,1.0,1.0,2012-01-04,1341,Aqua,MODIS,64,6.2,289.2,8.1,D,0,Other
37.129,-7.7767,304.9,1.0,1.0,2012-01-04,1341,Aqua,MODIS,60,6.2,292.6,5.5,D,0,Algarve
38.9407,-8.6463,301.3,1.0,1.0,2012-01-04,1341,Aqua,MODIS,46,6.2,288.5,4.7,D,0,Lisboa VT
38.5474,-8.7179,322.0,1.4,1.2,2012-01-06,1150,Terra,MODIS,61,6.2,286.1,35.9,D,0,Lisboa VT
38.7793,-8.3094,304.1,1.4,1.2,2012-01-09,1359,Aqua,MODIS,58,6.2,290.4,9.8,D,0,Lisboa VT
41.2281,-7.8445,307.9,1.6,1.2,2012-01-09,1400,Aqua,MODIS,66,6.2,280.9,19.8,D,0,Norte
41.2265,-7.8372,301.7,1.6,1.2,2012-01-09,1400,Aqua,MODIS,48,6.2,280.8,13.3,D,0,Norte
38.9518,-8.6936,300.1,1.3,1.1,2012-01-09,1400,Aqua,MODIS,29,6.2,289.2,6.3,D,0,Lisboa VT
42.0717,-8.2127,308.4,1.1,1.0,2012-01-10,1124,Terra,MODIS,67,6.2,280.8,11.7,D,0,Other
38.884,-8.399,305.1,1.0,1.0,2012-01-10,1125,Terra,MODIS,61,6.2,284.3,8.6,D,0,Lisboa VT
40.2604,-7.5319,300.4,2.1,1.4,2012-01-10,1305,Aqua,MODIS,36,6.2,283.4,17.0,D,0,Centro
40.8346,-8.1685,320.0,1.0,1.0,2012-01-10,2230,Terra,MODIS,100,6.2,274.9,23.4,N,0,Centro
41.2377,-7.9047,345.0,2.5,1.5,2012-01-11,1207,Terra,MODIS,89,6.2,282.6,210.9,D,0,Norte
41.2306,-7.8743,310.0,2.5,1.5,2012-01-11,1207,Terra,MODIS,0,6.2,278.7,49.1,D,0,Norte
38.9367,-8.5891,301.2,1.0,1.0,2012-01-11,1347,Aqua,MODIS,45,6.2,288.5,5.0,D,0,Lisboa VT
37.9358,-8.0228,303.0,1.0,1.0,2012-01-11,1347,Aqua,MODIS,54,6.2,286.3,5.9,D,0,Alentejo
41.2282,-7.9075,309.7,1.1,1.1,2012-01-11,1348,Aqua,MODIS,69,6.2,284.9,13.6,D,0,Norte
32.7359,-17.13,306.9,1.0,1.0,2012-01-11,2311,Terra,MODIS,49,6.2,281.6,12.0,N,0,Other
41.2983,-7.912,309.2,1.3,1.1,2012-01-12,1112,Terra,MODIS,68,6.2,279.3,19.5,D,0,Norte
32.6892,-17.0048,332.0,1.0,1.0,2012-01-13,1158,Terra,MODIS,84,6.2,287.1,32.0,D,0,Other
32.6908,-17.0153,319.0,1.0,1.0,2012-01-13,1158,Terra,MODIS,70,6.2,285.9,17.3,D,0,Other
41.8666,-7.7995,302.4,1.0,1.0,2012-01-13,1336,Aqua,MODIS,52,6.2,280.2,7.9,D,0,Norte
39.7412,-7.378,302.3,1.7,1.3,2012-01-14,1100,Terra,MODIS,49,6.2,278.4,16.4,D,0,Centro
38.7136,-8.4638,307.6,1.0,1.0,2012-01-17,1131,Terra,MODIS,66,6.2,283.4,10.2,D,0,Lisboa VT
41.311,-7.8346,309.3,2.5,1.5,2012-01-19,1259,Aqua,MODIS,68,6.2,285.2,42.1,D,0,Norte
41.318,-7.8324,307.1,2.5,1.5,2012-01-19,1259,Aqua,MODIS,65,6.2,285.0,33.5,D,0,Norte
41.3149,-7.8336,328.8,1.0,1.0,2012-01-20,1342,Aqua,MODIS,86,6.2,285.5,30.0,D,0,Norte
41.807,-7.9947,312.8,1.1,1.0,2012-01-22,1330,Aqua,MODIS,73,6.2,287.6,13.3,D,0,Norte
41.3087,-8.2692,315.7,1.0,1.0,2012-01-24,1137,Terra,MODIS,76,6.2,286.4,16.2,D,0,Norte
39.9556,-8.174,301.1,1.1,1.0,2012-01-24,1137,Terra,MODIS,44,6.2,284.3,6.8,D,0,Centro
41.3094,-8.2731,313.2,1.5,1.2,2012-01-24,1317,Aqua,MODIS,73,6.2,286.7,22.7,D,0,Norte
41.7907,-7.0319,302.3,1.3,1.1,2012-01-24,1317,Aqua,MODIS,51,6.2,286.9,9.5,D,0,Norte
40.918,-7.9271,301.0,1.4,1.2,2012-01-24,1317,Aqua,MODIS,44,6.2,285.8,9.3,D,0,Centro
38.0306,-8.8112,305.5,1.3,1.1,2012-01-25,1359,Aqua,MODIS,58,6.2,289.5,8.6,D,0,Other
38.0321,-8.7971,313.6,1.3,1.1,2012-01-25,1359,Aqua,MODIS,74,6.2,290.0,16.6,D,0,Other
40.9653,-7.9785,305.0,1.5,1.2,2012-01-25,1400,Aqua,MODIS,60,6.2,286.8,13.6,D,0,Centro
41.4703,-7.7924,305.7,1.6,1.2,2012-01-25,1400,Aqua,MODIS,62,6.2,285.6,15.0,D,0,Norte
41.4718,-7.7985,304.4,1.6,1.2,2012-01-25,1400,Aqua,MODIS,59,6.2,286.1,14.1,D,0,Norte
38.0335,-8.7942,310.4,1.0,1.0,2012-01-26,1125,Terra,MODIS,70,6.2,273.3,13.8,D,0,Other
38.0351,-8.8057,300.6,1.0,1.0,2012-01-26,1125,Terra,MODIS,40,6.2,272.7,7.5,D,0,Other
38.9366,-8.5562,306.8,1.0,1.0,2012-01-27,1347,Aqua,MODIS,64,6.2,287.1,8.6,D,0,Lisboa VT
38.0377,-8.7995,301.2,1.0,1.0,2012-01-27,1347,Aqua,MODIS,36,6.2,288.8,4.7,D,0,Other
38.9351,-8.5679,302.0,1.0,1.0,2012-01-27,1347,Aqua,MODIS,50,6.2,287.0,5.5,D,0,Lisboa VT
38.1925,-8.5126,309.2,1.3,1.1,2012-01-28,1113,Terra,MODIS,66,6.2,285.6,13.9,D,0,Other
38.1842,-8.5199,309.2,1.3,1.1,2012-01-28,1113,Terra,MODIS,68,6.2,285.6,13.9,D,0,Other
39.0395,-8.4561,300.2,1.7,1.3,2012-01-29,1155,Terra,MODIS,30,6.2,285.7,10.6,D,0,Lisboa VT
41.8096,-8.0225,333.8,1.0,1.0,2012-01-29,1336,Aqua,MODIS,89,6.2,284.8,35.8,D,0,Norte
41.8079,-8.0343,303.4,1.0,1.0,2012-01-29,1336,Aqua,MODIS,56,6.2,282.7,7.2,D,0,Norte
41.8114,-8.0107,325.1,1.0,1.0,2012-01-29,1336,Aqua,MODIS,83,6.2,285.1,24.2,D,0,Norte
41.421,-8.4708,300.7,1.1,1.0,2012-01-31,1143,Terra,MODIS,41,6.2,283.2,6.5,D,0,Norte
40.3953,-7.7701,306.1,1.2,1.1,2012-01-31,1143,Terra,MODIS,63,6.2,282.7,12.7,D,0,Centro
39.224,-8.1018,300.6,1.3,1.1,2012-01-31,1323,Aqua,MODIS,39,6.2,287.5,6.6,D,0,Lisboa VT
40.3464,-7.278,300.2,1.2,1.1,2012-01-31,1323,Aqua,MODIS,32,6.2,287.9,5.4,D,0,Centro
41.5191,-8.1452,302.6,1.2,1.1,2012-01-31,1324,Aqua,MODIS,0,6.2,276.1,9.0,D,0,Norte
38.5444,-8.7263,320.2,1.0,1.0,2012-02-02,1131,Terra,MODIS,60,6.2,284.6,20.3,D,0,Lisboa VT
38.1726,-8.3483,313.5,1.0,1.0,2012-02-02,1131,Terra,MODIS,74,6.2,285.8,14.1,D,0,Alentejo
38.8935,-9.2463,329.2,1.0,1.0,2012-02-02,2235,Terra,MODIS,100,6.2,276.1,33.9,N,0,Other
38.8953,-9.2347,336.3,1.0,1.0,2012-02-02,2235,Terra,MODIS,100,6.2,276.9,43.9,N,0,Other
41.9344,-8.5584,310.0,1.1,1.0,2012-02-03,248,Aqua,MODIS,79,6.2,271.5,17.2,N,0,Other
41.9664,-8.5761,302.3,1.1,1.0,2012-02-03,248,Aqua,MODIS,48,6.2,270.5,11.6,N,0,Other
41.9642,-8.5634,335.5,1.1,1.0,2012-02-03,248,Aqua,MODIS,100,6.2,271.8,47.8,N,0,Other
40.0917,-7.4866,303.3,1.3,1.1,2012-02-03,1354,Aqua,MODIS,56,6.2,281.7,12.2,D,0,Centro
41.679,-6.9191,306.1,1.5,1.2,2012-02-03,1354,Aqua,MODIS,63,6.2,279.7,17.5,D,0,Norte
41.5883,-6.4411,307.7,1.5,1.2,2012-02-03,1354,Aqua,MODIS,54,6.2,280.4,18.1,D,0,Other
41.5862,-6.4536,321.7,1.5,1.2,2012-02-03,1354,Aqua,MODIS,81,6.2,281.0,42.0,D,0,Other
40.5095,-8.0319,301.8,1.2,1.1,2012-02-03,1354,Aqua,MODIS,49,6.2,282.3,9.7,D,0,Centro
41.8769,-7.0872,305.5,1.4,1.2,2012-02-03,1354,Aqua,MODIS,61,6.2,281.9,15.8,D,0,Norte
41.5867,-6.4591,310.6,1.5,1.2,2012-02-03,1354,Aqua,MODIS,66,6.2,280.7,21.9,D,0,Other
40.9549,-7.8313,312.6,1.1,1.1,2012-02-04,1118,Terra,MODIS,73,6.2,278.3,18.1,D,0,Centro
39.7886,-7.4011,313.4,1.1,1.0,2012-02-04,1119,Terra,MODIS,74,6.2,282.6,15.6,D,0,Centro
41.7303,-8.3111,309.8,2.6,1.5,2012-02-04,1259,Aqua,MODIS,69,6.2,282.4,49.6,D,0,Norte
