latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,pdDistrict
40.9818,-8.0866,364.3,1.0,1.0,2011-01-21,1136,Terra,MODIS,100,6.2,284.1,108.1,D,0,Centro
40.9798,-8.0745,311.2,1.0,1.0,2011-01-21,1136,Terra,MODIS,71,6.2,279.3,14.7,D,0,Centro
38.2186,-8.3382,309.5,1.1,1.0,2011-01-21,1137,Terra,MODIS,69,6.2,286.1,12.4,D,0,Alentejo
40.8778,-8.0674,303.5,1.4,1.2,2011-01-22,255,Aqua,MODIS,44,6.2,270.0,16.1,N,0,Centro
40.8787,-8.0556,318.7,1.4,1.2,2011-01-22,255,Aqua,MODIS,71,6.2,271.1,33.1,N,0,Centro
40.8746,-8.0507,303.2,1.4,1.2,2011-01-22,255,Aqua,MODIS,42,6.2,270.1,15.8,N,0,Centro
40.2635,-7.5981,330.6,1.0,1.0,2011-01-23,1124,Terra,MODIS,87,6.2,280.3,33.7,D,0,Centro
40.2618,-7.5865,307.3,1.0,1.0,2011-01-23,1124,Terra,MODIS,65,6.2,280.0,11.5,D,0,Centro
40.9192,-7.3023,300.7,1.9,1.4,2011-01-23,1306,Aqua,MODIS,40,6.2,277.4,18.6,D,0,Centro
42.0245,-8.302,311.6,2.2,1.4,2011-01-24,1207,Terra,MODIS,37,6.2,278.7,40.8,D,0,Other
42.0207,-8.2838,358.5,2.2,1.4,2011-01-24,1207,Terra,MODIS,99,6.2,281.4,273.9,D,0,Other
42.0155,-8.2605,308.8,2.2,1.4,2011-01-24,1207,Terra,MODIS,68,6.2,276.8,37.9,D,0,Other
42.0503,-8.2368,315.4,2.2,1.4,2011-01-24,1207,Terra,MODIS,76,6.2,280.1,55.7,D,0,Other
42.0193,-8.2795,361.9,2.2,1.4,2011-01-24,1207,Terra,MODIS,100,6.2,281.1,300.7,D,0,Other
42.0447,-8.2121,313.6,2.2,1.4,2011-01-24,1207,Terra,MODIS,74,6.2,278.7,51.3,D,0,Other
42.0087,-8.2908,302.7,2.2,1.4,2011-01-24,1207,Terra,MODIS,51,6.2,277.7,25.7,D,0,Other
