latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,pdDistrict
40.9866,-7.9777,311.0,1.5,1.2,2015-01-01,1401,Aqua,MODIS,71,6.2,282.3,22.9,D,0,Centro
40.9808,-8.0735,301.9,1.0,1.0,2015-01-02,1125,Terra,MODIS,47,6.2,269.7,8.5,D,0,Centro
40.9824,-8.0856,322.9,1.0,1.0,2015-01-02,1125,Terra,MODIS,82,6.2,273.0,25.5,D,0,Centro
38.0275,-8.1084,306.8,1.0,1.0,2015-01-02,1126,Terra,MODIS,64,6.2,287.0,8.6,D,0,Alentejo
38.0155,-8.1097,303.7,2.6,1.5,2015-01-02,1305,Aqua,MODIS,53,6.2,289.7,22.4,D,0,Alentejo
38.0288,-8.1151,310.2,2.6,1.5,2015-01-02,1305,Aqua,MODIS,70,6.2,289.5,40.0,D,0,Alentejo
38.0205,-8.1165,315.3,2.6,1.5,2015-01-02,1305,Aqua,MODIS,76,6.2,289.8,55.7,D,0,Alentejo
41.0229,-7.9729,300.5,1.0,1.0,2015-01-02,2230,Terra,MODIS,29,6.2,274.5,8.5,N,0,Norte
40.9437,-8.0069,313.0,1.0,1.0,2015-01-02,2230,Terra,MODIS,86,6.2,274.6,16.7,N,0,Centro
41.0246,-7.9611,325.3,1.0,1.0,2015-01-02,2230,Terra,MODIS,100,6.2,275.5,28.4,N,0,Norte
40.9996,-8.1269,301.0,1.1,1.0,2015-01-03,1348,Aqua,MODIS,44,6.2,287.5,6.0,D,0,Centro
40.952,-8.0065,300.4,1.1,1.0,2015-01-03,1348,Aqua,MODIS,36,6.2,289.8,5.2,D,0,Centro
38.0227,-8.1261,304.1,1.0,1.0,2015-01-03,1348,Aqua,MODIS,58,6.2,292.6,5.6,D,0,Alentejo
41.8463,-7.9121,302.8,1.3,1.1,2015-01-04,1112,Terra,MODIS,54,6.2,287.5,9.7,D,0,Norte
41.0196,-8.1554,304.0,1.3,1.1,2015-01-04,1113,Terra,MODIS,58,6.2,288.6,11.1,D,0,Norte
40.8768,-7.829,317.6,1.2,1.1,2015-01-04,2218,Terra,MODIS,95,6.2,278.5,26.6,N,0,Centro
40.8742,-7.8437,303.9,1.2,1.1,2015-01-04,2218,Terra,MODIS,58,6.2,277.5,13.3,N,0,Centro
40.8777,-7.8359,319.2,1.2,1.1,2015-01-04,2218,Terra,MODIS,98,6.2,278.6,28.1,N,0,Centro
41.8772,-7.8039,306.2,1.6,1.2,2015-01-05,1155,Terra,MODIS,63,6.2,284.1,18.7,D,0,Norte
38.0786,-8.2323,301.8,1.1,1.0,2015-01-05,1335,Aqua,MODIS,49,6.2,288.5,5.5,D,0,Alentejo
41.8477,-7.9875,309.4,1.0,1.0,2015-01-05,1336,Aqua,MODIS,69,6.2,285.0,11.1,D,0,Norte
41.8558,-7.7436,328.4,1.0,1.0,2015-01-05,1336,Aqua,MODIS,86,6.2,286.0,28.7,D,0,Norte
41.8667,-7.7956,301.5,1.0,1.0,2015-01-05,1336,Aqua,MODIS,47,6.2,286.3,6.3,D,0,Norte
41.8649,-7.8075,308.9,1.0,1.0,2015-01-05,1336,Aqua,MODIS,68,6.2,285.3,10.9,D,0,Norte
41.8059,-7.974,304.9,1.1,1.1,2015-01-07,1143,Terra,MODIS,57,6.2,283.7,10.9,D,0,Norte
41.7166,-8.228,306.7,1.0,1.0,2015-01-09,1131,Terra,MODIS,64,6.2,288.5,9.1,D,0,Norte
38.0972,-8.0936,302.0,1.0,1.0,2015-01-09,1132,Terra,MODIS,50,6.2,286.7,6.0,D,0,Alentejo
41.8359,-7.8469,302.7,1.3,1.1,2015-01-10,1355,Aqua,MODIS,53,6.2,288.0,9.2,D,0,Norte
41.8485,-7.8931,317.5,1.1,1.1,2015-01-11,1119,Terra,MODIS,78,6.2,281.8,20.9,D,0,Norte
41.8452,-7.8998,322.2,1.1,1.1,2015-01-11,1119,Terra,MODIS,81,6.2,282.5,28.5,D,0,Norte
38.1228,-7.8479,310.9,3.1,1.7,2015-01-11,1259,Aqua,MODIS,71,6.2,290.8,52.1,D,0,Alentejo
38.1241,-7.8441,310.7,3.1,1.7,2015-01-11,1259,Aqua,MODIS,70,6.2,290.9,50.9,D,0,Alentejo
41.5344,-8.1479,304.0,1.1,1.0,2015-01-11,2225,Terra,MODIS,58,6.2,279.1,10.9,N,0,Norte
41.8307,-8.5537,306.3,1.8,1.3,2015-01-12,1202,Terra,MODIS,63,6.2,282.7,22.4,D,0,Other
41.7505,-8.1738,301.6,1.9,1.3,2015-01-12,1202,Terra,MODIS,45,6.2,282.5,17.9,D,0,Norte
41.743,-8.1694,307.5,1.9,1.3,2015-01-12,1202,Terra,MODIS,66,6.2,282.8,26.8,D,0,Norte
38.167,-7.7642,314.1,1.0,1.0,2015-01-12,1342,Aqua,MODIS,74,6.2,286.4,14.5,D,0,Alentejo
38.992,-8.3826,302.9,1.0,1.0,2015-01-12,1342,Aqua,MODIS,54,6.2,288.9,5.7,D,0,Lisboa VT
